Year,Male_Bumi,Male_Chinese,Male_Indian,Male_Others,Male_non Citizens,Female_Bumi,Female_Chinese,Female_Indian,Female_Others,Female_non Citizens,Growth_Rate_BumiM,Growth_Rate_ChiM,Growth_Rate_IndM,Growth_Rate_OthM,Growth_Rate_BumiF,Growth_Rate_ChiF,Growth_Rate_IndF,Growth_Rate_OthF
1991,5590.4,2545.1,709.9,98.2,472.9,5531.5,2475.9,696.9,96.5,330.1,,,,,,,,
1992,5762.7,2588.6,725.2,105.7,504.90000000000003,5695.6,2510.2,713.0,103.5,357.9,3.0820692615913137,1.7091666339240197,2.1552331314269813,7.637474541751521,2.9666455753412313,1.385354820469309,2.310231023102305,7.253886010362698
1993,5939.5,2633.6,740.8,111.2,538.3,5864.2,2547.7,729.3,108.5,388.0,3.068006316483607,1.738391408483353,2.15113072255928,5.203405865657529,2.960179787906436,1.4939048681380074,2.2861150070126124,4.8309178743961345
1994,6118.5,2679.2,756.2,115.60000000000001,573.2,6036.0,2585.1,745.7,112.9,419.2,3.013721693745275,1.7314702308626861,2.0788336933045493,3.9568345323740983,2.9296408717301547,1.4679907367429523,2.2487316604963725,4.05529953917052
1995,6298.8,2724.3,770.6,119.7,607.8,6210.1,2621.5,761.6999999999999,116.8,450.40000000000003,2.946800686442752,1.683338309943272,1.90425813276911,3.5467128027681705,2.8843605036448006,1.4080693203357697,2.1456349738500524,3.454384410983158
1996,6480.2,2768.4,786.1,123.3,642.8,6385.1,2657.8,777.3,120.5,482.0,2.8799136343430343,1.6187644532540402,2.0114196729820844,3.007518796992481,2.817990048469432,1.3847034140759273,2.048050413548652,3.167808219178081
1997,6662.9,2812.7,801.0,127.0,678.1,6562.2,2693.9,793.4,124.5,513.2,2.819357427239888,1.6002022829070928,1.8954331509986044,3.0008110300081103,2.7736448920142154,1.3582662352321417,2.071272353016851,3.319502074688807
1998,6851.8,2857.7,816.8000000000001,130.5,715.0,6745.1,2731.2999999999997,810.0,128.8,546.5,2.8351018325353916,1.5998862303125083,1.9725343320849076,2.7559055118110187,2.7871750327634004,1.3883217639852896,2.0922611545248326,3.4538152610441797
1999,7041.1,2904.0,832.9,134.5,753.9,6930.6,2770.7,828.0,133.0,580.8000000000001,2.762777664263405,1.6201840641075105,1.9711067580802988,3.065134099616862,2.7501445493765875,1.4425365210705587,2.2222222222222143,3.2608695652173836
2000,7231.400000000001,2950.5,850.3,137.9,795.1,7117.9,2811.4,845.7,136.7,617.8,2.7027027027026973,1.6012396694214948,2.0890863248889335,2.527881040892188,2.7025077193893576,1.4689428664236504,2.1376811594203016,2.781954887218041
2001,7397.0,2997.9,864.1,138.9,859.5,7277.3,2851.4,859.0,137.0,648.8,2.2900129988660423,1.6065073716319267,1.6229566035516951,0.7251631617113841,2.239424549375535,1.4227786867752723,1.5726617003665622,0.2194586686174116
2002,7560.2,3037.9,877.0,139.4,922.4,7434.099999999999,2885.0,871.1999999999999,137.2,678.3,2.2062998512910603,1.3342673204576494,1.4928827681981227,0.3599712023038215,2.154645266788502,1.178368520726658,1.420256111757845,0.14598540145984717
2003,7718.1,3077.1,889.3000000000001,140.1,983.7,7586.0,2916.9,882.8,137.1,706.8000000000001,2.088569085473946,1.2903650548075962,1.4025085518814207,0.5021520803443202,2.0432870152405913,1.10571923743501,1.3314967860422522,-0.07288629737608465
2004,7877.6,3113.5,901.4,140.4,1046.3,7746.2,2948.0,895.5,137.0,736.1,2.066570788147337,1.1829319814110617,1.3606207129202685,0.21413276231263545,2.1117848668600114,1.06620041825225,1.4386044404168574,-0.07293946024798936
2005,8041.599999999999,3149.4,912.7,140.7,1108.5,7905.3,2977.9,906.5,136.8,765.4,2.0818523408144607,1.1530431989722256,1.2536055025516024,0.2136752136751907,2.053910304407336,1.0142469470827642,1.2283640424344044,-0.14598540145984717
2006,8206.7,3184.1,924.3,141.2,1170.6,8066.9,3007.2,917.2,136.8,794.4,2.053074015121381,1.10179716771448,1.2709543113837984,0.3553660270078085,2.0441981961468736,0.98391483931628,1.180364037506898,0.0
2007,8375.0,3218.7,934.8,142.0,1232.5,8232.3,3035.1,927.6999999999999,137.3,822.8,2.0507634006360576,1.0866492886529855,1.1359948068808912,0.56657223796035,2.050353915382619,0.9277733439744695,1.1447884866986335,0.3654970760234022
2008,8544.1,3251.9,945.8,143.3,1293.8,8398.9,3062.8,938.1999999999999,137.7,850.9,2.019104477611955,1.0314723335508313,1.1767222935387345,0.9154929577464888,2.0237357725058747,0.912655266712803,1.1318314110164929,0.2913328477785804
2009,8720.7,3283.6,956.3000000000001,142.0,1354.4,8572.2,3089.2,948.2,136.1,878.7,2.0669233740241877,0.9748147236999793,1.1101712835694721,-0.9071877180739762,2.0633654407124835,0.8619563797831908,1.0658708164570596,-1.161946259985469
2010,8915.0,3314.1,966.1,118.9,1416.3,8761.3,3116.4,958.7,113.1,908.2,2.2280321533821645,0.9288585698623564,1.0247830178814032,-16.267605633802816,2.2059681295349964,0.8804868574388225,1.1073613161780127,-16.899338721528288
2011,9058.3,3333.9,973.1,123.7,1491.0,8905.9,3137.3,966.8,118.0,954.1999999999999,1.6074032529444615,0.5974472707522382,0.7245626746713585,4.037005887300249,1.6504400031958744,0.6706456167372643,0.8448941274642685,4.332449160035368
2012,9203.3,3352.2,978.3,127.5,1553.7,9046.6,3158.5,973.6,121.4,994.3,1.6007418610556101,0.548906685863404,0.5343746788613712,3.071948261924007,1.5798515590788265,0.6757402862333839,0.7033512618949134,2.8813559322034
2013,9354.3,3372.8,983.6,131.4,1763.0,9194.9,3181.7,981.6,125.4,1125.3,1.6407158301913416,0.614521806574797,0.5417561075334865,3.0588235294117583,1.6392898989675553,0.7345258825391721,0.8216926869350827,3.294892915980241
2014,9513.2,3387.0,987.8,136.2,1843.6,9353.5,3199.1,989.7,129.6,1168.8,1.6986840276664417,0.4210151802656492,0.42700284668564237,3.652968036529658,1.7248692209812067,0.5468774554483469,0.8251833740831271,3.349282296650702
2015,9668.8,3401.8,990.8,139.6,1911.2,9513.9,3217.1,995.5,132.6,1214.7,1.6356220830004542,0.43696486566282555,0.303705203482485,2.496328928046987,1.7148660929063864,0.5626582476321529,0.5860361725775531,2.314814814814814
2016,9822.8,3413.6,991.6,144.2,1974.2,9662.4,3232.2000000000003,1000.0,136.5,1255.7,1.592751944398474,0.34687518372624737,0.08074283407348837,3.2951289398280847,1.5608740894901052,0.46936682105003236,0.45203415369161615,2.941176470588247
2017,9969.5,3421.4,994.9,147.6,2009.2,9811.5,3243.7000000000003,1006.1,140.4,1278.2,1.493464185364668,0.22849777361144685,0.3327954820492085,2.3578363384188616,1.543094883258811,0.35579481467731267,0.6099999999999994,2.857142857142869
2018,10116.2,3427.4,997.5,150.6,2030.1000000000001,9959.5,3254.7999999999997,1010.7,143.2,1292.8,1.4714880385174878,0.1753668089086391,0.2613327972660562,2.0325203252032464,1.5084339805330416,0.3422018065788901,0.4572110128217899,1.9943019943019724
2019,10262.7,3433.5,999.9,153.7,1915.1,10106.8,3265.3,1015.0,146.1,1225.0,1.4481722385876195,0.177977475637503,0.2406015037593967,2.058432934926957,1.478989909131978,0.32260046700258727,0.42544770950825317,2.025139664804465
2020,10452.0,3517.7999999999997,1007.6,116.7,1872.4,10197.7,3374.7,991.6,98.7,818.5,1.8445438334941056,2.455220620358234,0.7700770077007757,-24.07286922576447,0.8993944670914855,3.350381281964898,-2.305418719211816,-32.44353182751539
2021,10580.4,3514.2,1008.0,118.89999999999999,1779.2,10322.0,3377.7000000000003,994.6,101.2,780.4,1.228473019517784,-0.10233668770254223,0.039698292973389115,1.8851756640959616,1.2189023014993472,0.08889679082586532,0.3025413473174643,2.532928064842954
2022,10677.3,3501.0,1005.1,120.2,1736.2,10424.7,3372.6,994.9,102.9,764.0,0.9158443915163961,-0.37561891753457033,-0.2876984126984117,1.0933557611438216,0.9949622166246952,-0.15099031885603686,0.030162879549555655,1.679841897233203
2023,10787.0,3491.7,1004.2,121.89999999999999,2055.2,10538.5,3370.6,996.8,104.4,908.9,1.0274132973691952,-0.2656383890317082,-0.08954332902199047,1.4143094841930104,1.0916381286751653,-0.05930142916443781,0.19097396723288806,1.4577259475218707
